Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  7.00  0.00 10.00  0.00 22.00  0.00 25.00  0.00 -0.02647 
4  7.00  0.00 11.00  0.00 21.00  0.00 25.00  0.00 -0.06338 
4  7.00  0.00 11.00  0.00 25.00  0.00 29.00  0.00 -0.03300 
4  7.00  0.00 11.00  0.00 29.00  0.00 22.00  0.00 0.07339 
4  7.00  0.00 11.00  0.00 22.00  0.00 26.00  0.00 -0.05297 
4  7.00  0.00 11.00  0.00 26.00  0.00 30.00  0.00 -0.02692 
4  7.00  0.00 11.00  0.00 30.00  0.00 23.00  0.00 0.06165 
4  7.00  0.00 11.00  0.00 23.00  0.00 27.00  0.00 -0.03996 
4  7.00  0.00 11.00  0.00 27.00  0.00 31.00  0.00 -0.02562 
4  7.00  0.00 11.00  0.00 31.00  0.00 24.00  0.00 0.05558 
4  7.00  0.00 11.00  0.00 24.00  0.00 28.00  0.00 -0.03476 
4  7.00  0.00 11.00  0.00 28.00  0.00 32.00  0.00 -0.02341 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 -0.01331 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 -3.41662 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 -0.56435 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 -0.18371 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 -0.06045 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 -0.02840 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 -0.01466 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 -0.01833 
4  8.00  0.00 10.00  0.00 14.00  0.00 16.00  0.00 -0.12213 
4  8.00  0.00 10.00  0.00 16.00  0.00 18.00  0.00 -0.07894 
4  8.00  0.00 10.00  0.00 18.00  0.00 20.00  0.00 -0.04041 
4  8.00  0.00 10.00  0.00 20.00  0.00 22.00  0.00 -0.02537 
4  8.00  0.00 10.00  0.00 22.00  0.00 15.00  0.00 0.18512 
4  8.00  0.00 10.00  0.00 15.00  0.00 17.00  0.00 -0.08550 
4  8.00  0.00 10.00  0.00 17.00  0.00 19.00  0.00 -0.05687 
4  8.00  0.00 10.00  0.00 19.00  0.00 21.00  0.00 -0.03101 
4  8.00  0.00 10.00  0.00 21.00  0.00 23.00  0.00 -0.02208 
4  8.00  0.00 11.00  0.00 18.00  0.00 21.00  0.00 -0.09917 
4  8.00  0.00 11.00  0.00 21.00  0.00 24.00  0.00 -0.04006 
4  8.00  0.00 11.00  0.00 24.00  0.00 27.00  0.00 -0.02147 
4  8.00  0.00 11.00  0.00 27.00  0.00 19.00  0.00 0.11588 
4  8.00  0.00 11.00  0.00 19.00  0.00 22.00  0.00 -0.07392 
4  8.00  0.00 11.00  0.00 22.00  0.00 25.00  0.00 -0.02766 
4  8.00  0.00 11.00  0.00 25.00  0.00 28.00  0.00 -0.01908 
4  8.00  0.00 11.00  0.00 28.00  0.00 20.00  0.00 0.09111 
4  8.00  0.00 11.00  0.00 20.00  0.00 23.00  0.00 -0.05819 
4  8.00  0.00 11.00  0.00 23.00  0.00 26.00  0.00 -0.01956 
4  8.00  0.00 12.00  0.00 22.00  0.00 26.00  0.00 -0.05804 
4  8.00  0.00 12.00  0.00 26.00  0.00 30.00  0.00 -0.03236 
