Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  20.00  0.00 22.50  0.00 27.50  0.00 30.00  0.00 -0.54782 
4  20.00  0.00 22.50  0.00 30.00  0.00 32.50  0.00 -0.22544 
4  20.00  0.00 22.50  0.00 32.50  0.00 35.00  0.00 -0.09031 
4  20.00  0.00 22.50  0.00 35.00  0.00 37.50  0.00 -0.04941 
4  20.00  0.00 22.50  0.00 37.50  0.00 40.00  0.00 -0.03523 
4  20.00  0.00 22.50  0.00 40.00  0.00 42.50  0.00 -0.02066 
4  20.00  0.00 25.00  0.00 35.00  0.00 40.00  0.00 -0.21106 
4  20.00  0.00 25.00  0.00 40.00  0.00 45.00  0.00 -0.08696 
4  20.00  0.00 25.00  0.00 45.00  0.00 50.00  0.00 -0.05453 
4  20.00  0.00 25.00  0.00 50.00  0.00 55.00  0.00 -0.03303 
4  20.00  0.00 25.00  0.00 55.00  0.00 37.50  0.00 0.25827 
4  20.00  0.00 25.00  0.00 37.50  0.00 42.50  0.00 -0.13529 
4  20.00  0.00 25.00  0.00 42.50  0.00 47.50  0.00 -0.06648 
4  20.00  0.00 25.00  0.00 47.50  0.00 52.50  0.00 -0.04139 
4  20.00  0.00 25.00  0.00 52.50  0.00 57.50  0.00 -0.02825 
4  20.00  0.00 27.50  0.00 45.00  0.00 52.50  0.00 -0.12333 
4  20.00  0.00 27.50  0.00 52.50  0.00 60.00  0.00 -0.06119 
4  20.00  0.00 27.50  0.00 60.00  0.00 67.50  0.00 -0.04301 
4  20.00  0.00 27.50  0.00 67.50  0.00 47.50  0.00 0.17494 
4  20.00  0.00 27.50  0.00 47.50  0.00 55.00  0.00 -0.09387 
4  20.00  0.00 27.50  0.00 55.00  0.00 62.50  0.00 -0.05455 
4  20.00  0.00 27.50  0.00 62.50  0.00 70.00  0.00 -0.03712 
4  20.00  0.00 27.50  0.00 70.00  0.00 50.00  0.00 0.14673 
4  20.00  0.00 27.50  0.00 50.00  0.00 57.50  0.00 -0.07593 
4  20.00  0.00 27.50  0.00 57.50  0.00 65.00  0.00 -0.04696 
4  20.00  0.00 30.00  0.00 55.00  0.00 65.00  0.00 -0.10398 
